dt;Posicion;V RK4;Energia
1,98;8,77;17,05;254,41
1,99;8,76;17,42;254,54
2,00;8,76;17,75;254,63
2,01;8,75;18,03;254,69
2,02;8,75;18,27;254,70
2,03;8,76;18,46;254,68
2,04;8,77;18,60;254,64
2,05;8,78;18,70;254,57
2,06;8,80;18,75;254,48
2,07;8,82;18,76;254,38
2,08;8,85;18,71;254,27
2,09;8,88;18,62;254,16
2,10;8,91;18,48;254,06
2,11;8,95;18,30;253,96
2,12;9,00;18,07;253,88
2,13;9,05;17,79;253,83
2,14;9,10;17,47;253,80
2,15;9,16;17,11;253,81
2,16;9,22;16,70;253,86
2,17;9,28;16,26;253,95
2,18;9,35;15,77;254,08
2,19;9,42;15,25;254,27
2,20;9,49;14,70;254,51
2,21;9,56;14,12;254,81
2,22;9,64;13,52;255,16
2,23;9,71;12,89;255,56
2,24;9,79;12,25;256,03
2,25;9,86;11,60;256,54
2,26;9,94;10,94;257,11
2,27;10,02;10,29;257,72
2,28;10,09;9,66;258,38
2,29;10,17;9,05;259,08
2,30;10,24;8,48;259,81
2,31;10,32;7,97;260,57
2,32;10,39;7,55;261,35
2,33;10,46;7,22;262,14
2,34;10,53;7,01;262,93
2,35;10,60;6,93;263,72
2,36;10,67;6,99;264,50
2,37;10,74;7,19;265,25
2,38;10,80;7,51;265,98
2,39;10,87;7,93;266,66
2,40;10,93;8,44;267,30
2,41;11,00;9,02;267,88
2,42;11,06;9,64;268,39
2,43;11,12;10,30;268,83
2,44;11,18;10,97;269,18
2,45;11,25;11,66;269,45
2,46;11,31;12,34;269,63
2,47;11,37;13,02;269,71
2,48;11,44;13,69;269,69
2,49;11,50;14,33;269,56
2,50;11,57;14,95;269,33
2,51;11,63;15,54;268,99
2,52;11,70;16,10;268,54
2,53;11,77;16,62;267,98
2,54;11,84;17,11;267,33
2,55;11,92;17,55;266,57
2,56;11,99;17,95;265,72
2,57;12,07;18,30;264,78
2,58;12,15;18,61;263,76
