dt;Posicion;V RK2;Energia
1,98;8,81;15,17;215,56
1,99;8,80;15,47;215,42
2,00;8,78;15,73;215,30
2,01;8,77;15,95;215,30
2,02;8,77;16,13;214,96
2,03;8,77;16,27;214,96
2,04;8,77;16,37;214,51
2,05;8,77;16,43;214,25
2,06;8,78;16,44;214,25
2,07;8,79;16,41;213,71
2,08;8,81;16,34;213,43
2,09;8,83;16,23;213,43
2,10;8,85;16,07;212,88
2,11;8,88;15,87;212,88
2,12;8,91;15,64;212,39
2,13;8,94;15,36;212,39
2,14;8,98;15,04;211,99
2,15;9,02;14,68;211,99
2,16;9,06;14,29;211,71
2,17;9,11;13,86;211,63
2,18;9,16;13,40;211,63
2,19;9,21;12,91;211,60
2,20;9,26;12,39;211,60
2,21;9,32;11,85;211,76
2,22;9,37;11,28;211,76
2,23;9,43;10,70;212,12
2,24;9,48;10,10;212,12
2,25;9,54;9,49;212,66
2,26;9,60;8,88;213,00
2,27;9,66;8,27;213,39
2,28;9,72;7,69;213,39
2,29;9,77;7,13;214,26
2,30;9,83;6,61;214,26
2,31;9,89;6,15;215,25
2,32;9,94;5,78;215,25
2,33;10,00;5,50;216,31
2,34;10,05;5,35;216,31
2,35;10,10;5,34;217,36
2,36;10,16;5,46;217,36
2,37;10,21;5,71;218,35
2,38;10,26;6,07;218,35
2,39;10,31;6,51;219,19
2,40;10,36;7,02;219,19
2,41;10,41;7,58;219,83
2,42;10,46;8,16;219,83
2,43;10,50;8,77;220,22
2,44;10,55;9,39;220,30
2,45;10,60;10,00;220,30
2,46;10,65;10,62;220,22
2,47;10,70;11,22;220,05
2,48;10,75;11,80;219,79
2,49;10,80;12,36;219,79
2,50;10,85;12,90;219,01
2,51;10,91;13,41;219,01
2,52;10,96;13,89;217,85
2,53;11,02;14,34;217,85
2,54;11,07;14,75;216,35
2,55;11,13;15,13;216,35
2,56;11,20;15,46;214,52
2,57;11,26;15,76;213,50
2,58;11,32;16,01;213,50
2,59;11,39;16,22;211,25
2,60;11,46;16,39;211,25
2,61;11,53;16,51;208,80
2,62;11,60;16,58;208,80
2,63;11,68;16,61;206,21
2,64;11,75;16,59;206,21
2,65;11,83;16,53;203,54
2,66;11,91;16,41;202,20
2,67;11,98;16,25;200,87
2,68;12,06;16,05;199,56
2,69;12,14;15,80;199,56
2,70;12,22;15,50;197,03
2,71;12,30;15,16;195,83
2,72;12,38;14,77;195,83
2,73;12,46;14,34;193,60
2,74;12,54;13,87;192,58
2,75;12,62;13,36;191,64
2,76;12,69;12,81;191,64
2,77;12,77;12,22;190,01
2,78;12,84;11,60;190,01
2,79;12,91;10,95;188,75
2,80;12,97;10,26;188,75
2,81;13,04;9,55;187,87
2,82;13,10;8,81;187,59
2,83;13,16;8,05;187,59
