dt;Posicion;V Eul-Expl;Energia
0,00;12,50;0,88;0,00
0,01;12,50;1,77;207,45
0,02;12,50;2,65;208,65
0,03;12,50;3,52;209,82
0,04;12,49;4,39;210,94
0,05;12,49;5,25;212,01
0,06;12,49;6,09;213,02
0,07;12,48;6,92;213,96
0,08;12,48;7,73;214,82
0,09;12,47;8,52;215,59
0,10;12,47;9,29;216,28
0,11;12,47;10,03;216,87
0,12;12,46;10,74;217,36
0,13;12,46;11,42;217,74
0,14;12,46;12,08;218,02
0,15;12,46;12,69;218,19
0,16;12,46;13,28;218,24
0,17;12,46;13,82;218,19
0,18;12,46;14,32;218,04
0,19;12,46;14,79;217,77
0,20;12,47;15,21;217,41
0,21;12,48;15,58;216,96
0,22;12,49;15,92;216,41
0,23;12,50;16,20;215,78
0,24;12,51;16,44;215,08
0,25;12,52;16,63;214,32
0,26;12,54;16,77;213,50
0,27;12,56;16,86;212,64
0,28;12,58;16,91;211,74
0,29;12,60;16,90;210,82
0,30;12,62;16,84;209,89
0,31;12,65;16,73;208,96
0,32;12,68;16,58;208,04
0,33;12,70;16,37;207,14
0,34;12,73;16,12;206,29
0,35;12,76;15,82;205,48
0,36;12,79;15,47;204,73
0,37;12,82;15,08;204,04
0,38;12,85;14,64;203,44
0,39;12,87;14,16;202,92
0,40;12,90;13,64;202,50
0,41;12,93;13,08;202,18
0,42;12,95;12,49;201,97
0,43;12,98;11,86;201,87
0,44;13,00;11,20;201,89
0,45;13,02;10,51;202,03
0,46;13,03;9,79;202,29
0,47;13,04;9,06;202,67
0,48;13,05;8,31;203,17
0,49;13,06;7,56;203,78
0,50;13,06;6,81;204,52
0,51;13,06;6,07;205,36
0,52;13,06;5,37;206,30
0,53;13,05;4,72;207,34
0,54;13,03;4,18;208,48
0,55;13,01;3,78;209,69
0,56;12,99;3,60;210,97
0,57;12,96;3,66;212,32
0,58;12,92;3,96;213,72
0,59;12,88;4,45;215,16
0,60;12,84;5,07;216,64
0,61;12,79;5,77;218,13
0,62;12,74;6,52;219,64
0,63;12,68;7,30;221,14
0,64;12,61;8,10;222,63
0,65;12,54;8,90;224,10
0,66;12,47;9,69;225,55
0,67;12,40;10,47;226,95
0,68;12,32;11,24;228,31
0,69;12,23;11,98;229,62
0,70;12,14;12,70;230,86
0,71;12,05;13,39;232,04
0,72;11,96;14,05;233,16
0,73;11,87;14,67;234,20
0,74;11,77;15,26;235,17
0,75;11,67;15,80;236,06
0,76;11,57;16,31;236,88
0,77;11,47;16,77;237,63
0,78;11,37;17,19;238,30
0,79;11,26;17,57;238,91
0,80;11,16;17,90;239,46
0,81;11,06;18,17;239,95
0,82;10,96;18,40;240,39
0,83;10,86;18,58;240,79
0,84;10,77;18,71;241,15
0,85;10,67;18,79;241,49
0,86;10,58;18,82;241,80
0,87;10,49;18,79;242,11
0,88;10,40;18,72;242,41
0,89;10,32;18,59;242,73
0,90;10,23;18,42;243,06
0,91;10,15;18,19;243,42
0,92;10,08;17,92;243,82
0,93;10,00;17,59;244,26
0,94;9,93;17,23;244,76
0,95;9,87;16,81;245,31
0,96;9,80;16,36;245,93
0,97;9,74;15,86;246,63
0,98;9,68;15,33;247,40
0,99;9,62;14,76;248,25
1,00;9,57;14,15;249,18
1,01;9,52;13,52;250,20
1,02;9,46;12,86;251,31
1,03;9,41;12,17;252,49
1,04;9,36;11,47;253,76
1,05;9,31;10,76;255,11
1,06;9,27;10,05;256,53
1,07;9,22;9,34;258,02
1,08;9,17;8,64;259,58
1,09;9,12;7,97;261,19
1,10;9,07;7,35;262,84
1,11;9,02;6,79;264,54
1,12;8,97;6,31;266,26
1,13;8,92;5,96;268,00
1,14;8,86;5,75;269,75
1,15;8,81;5,70;271,49
1,16;8,75;5,81;273,22
1,17;8,69;6,08;274,92
1,18;8,63;6,49;276,59
1,19;8,57;7,00;278,21
1,20;8,51;7,59;279,77
1,21;8,45;8,23;281,25
1,22;8,38;8,91;282,66
1,23;8,32;9,62;283,99
1,24;8,25;10,34;285,21
1,25;8,19;11,05;286,33
1,26;8,12;11,77;287,34
1,27;8,06;12,46;288,24
1,28;8,00;13,15;289,01
1,29;7,93;13,80;289,67
1,30;7,87;14,44;290,19
1,31;7,82;15,04;290,59
1,32;7,76;15,61;290,87
1,33;7,71;16,14;291,02
1,34;7,66;16,64;291,04
1,35;7,62;17,10;290,95
1,36;7,58;17,51;290,74
1,37;7,54;17,88;290,43
1,38;7,52;18,21;290,01
1,39;7,49;18,49;289,50
1,40;7,48;18,73;288,91
1,41;7,47;18,92;288,24
1,42;7,46;19,06;287,51
1,43;7,47;19,15;286,72
1,44;7,48;19,19;285,88
1,45;7,49;19,18;285,02
1,46;7,52;19,12;284,13
1,47;7,55;19,02;283,23
1,48;7,58;18,86;282,34
1,49;7,62;18,66;281,45
1,50;7,67;18,41;280,60
1,51;7,72;18,11;279,77
1,52;7,78;17,77;279,00
1,53;7,84;17,38;278,28
1,54;7,90;16,94;277,62
1,55;7,97;16,47;277,03
1,56;8,04;15,95;276,53
1,57;8,11;15,39;276,11
1,58;8,18;14,79;275,78
1,59;8,25;14,16;275,55
1,60;8,32;13,49;275,42
1,61;8,40;12,79;275,40
1,62;8,47;12,06;275,48
1,63;8,54;11,30;275,67
1,64;8,61;10,52;275,97
1,65;8,67;9,71;276,37
1,66;8,74;8,88;276,88
1,67;8,80;8,04;277,49
1,68;8,86;7,19;278,19
1,69;8,91;6,33;278,99
1,70;8,96;5,49;279,88
1,71;9,00;4,66;280,86
1,72;9,04;3,88;281,91
1,73;9,08;3,20;283,03
1,74;9,11;2,70;284,21
1,75;9,14;2,51;285,45
1,76;9,16;2,69;286,74
1,77;9,18;3,19;288,06
1,78;9,19;3,89;289,42
1,79;9,20;4,68;290,80
1,80;9,20;5,54;292,19
1,81;9,20;6,43;293,59
1,82;9,19;7,32;294,98
1,83;9,18;8,23;296,36
1,84;9,17;9,12;297,72
1,85;9,15;10,01;299,04
1,86;9,13;10,89;300,33
1,87;9,11;11,75;301,57
1,88;9,08;12,59;302,76
1,89;9,05;13,40;303,89
1,90;9,02;14,19;304,95
1,91;8,99;14,95;305,95
1,92;8,96;15,68;306,86
1,93;8,93;16,38;307,70
1,94;8,89;17,04;308,45
1,95;8,86;17,66;309,11
1,96;8,83;18,24;309,69
1,97;8,81;18,78;310,18
1,98;8,78;19,28;310,58
1,99;8,76;19,73;310,90
2,00;8,74;20,13;311,14
2,01;8,73;20,49;311,30
2,02;8,72;20,80;311,39
2,03;8,72;21,05;311,41
2,04;8,72;21,25;311,38
2,05;8,72;21,40;311,29
2,06;8,73;21,50;311,16
2,07;8,75;21,54;311,00
2,08;8,77;21,52;310,83
2,09;8,80;21,45;310,64
2,10;8,84;21,32;310,45
2,11;8,88;21,14;310,28
2,12;8,93;20,91;310,13
2,13;8,98;20,62;310,02
2,14;9,04;20,28;309,96
2,15;9,10;19,88;309,96
2,16;9,17;19,44;310,03
2,17;9,24;18,94;310,18
2,18;9,32;18,40;310,42
2,19;9,40;17,82;310,76
2,20;9,48;17,19;311,20
2,21;9,56;16,53;311,75
2,22;9,65;15,83;312,41
2,23;9,73;15,10;313,19
2,24;9,82;14,34;314,09
2,25;9,91;13,56;315,11
2,26;10,00;12,78;316,24
2,27;10,09;11,99;317,48
2,28;10,17;11,20;318,82
2,29;10,26;10,44;320,27
2,30;10,35;9,71;321,80
2,31;10,43;9,04;323,42
2,32;10,51;8,45;325,11
