dt;Posicion;V Eul-Expl;Energia
2,33;10,59;7,96;326,85
2,34;10,67;7,62;328,64
2,35;10,75;7,43;330,46
2,36;10,82;7,43;332,29
2,37;10,89;7,60;334,11
2,38;10,96;7,94;335,92
2,39;11,03;8,43;337,69
2,40;11,10;9,04;339,40
2,41;11,16;9,74;341,05
2,42;11,22;10,50;342,61
2,43;11,29;11,31;344,07
2,44;11,35;12,15;345,41
2,45;11,41;13,00;346,62
2,46;11,47;13,86;347,69
2,47;11,53;14,71;348,60
2,48;11,59;15,54;349,35
2,49;11,65;16,35;349,93
2,50;11,72;17,14;350,32
2,51;11,78;17,89;350,54
2,52;11,85;18,60;350,57
2,53;11,92;19,28;350,41
2,54;11,99;19,90;350,07
2,55;12,06;20,48;349,55
2,56;12,14;21,01;348,86
2,57;12,22;21,48;348,00
2,58;12,30;21,90;346,98
2,59;12,38;22,25;345,82
2,60;12,47;22,55;344,53
2,61;12,56;22,79;343,13
2,62;12,66;22,96;341,62
2,63;12,76;23,07;340,04
2,64;12,86;23,11;338,39
2,65;12,96;23,08;336,70
2,66;13,07;23,00;334,99
2,67;13,18;22,84;333,27
2,68;13,29;22,62;331,57
2,69;13,40;22,33;329,92
2,70;13,52;21,98;328,32
2,71;13,63;21,56;326,80
2,72;13,75;21,09;325,38
2,73;13,86;20,55;324,08
2,74;13,98;19,95;322,91
2,75;14,09;19,29;321,89
2,76;14,20;18,57;321,03
2,77;14,31;17,80;320,35
2,78;14,42;16,98;319,85
2,79;14,52;16,11;319,55
2,80;14,63;15,20;319,44
2,81;14,73;14,24;319,54
2,82;14,82;13,24;319,85
2,83;14,91;12,21;320,37
2,84;14,99;11,15;321,08
2,85;15,07;10,06;322,00
2,86;15,15;8,96;323,10
2,87;15,22;7,85;324,39
2,88;15,28;6,75;325,86
2,89;15,34;5,67;327,48
2,90;15,39;4,66;329,25
2,91;15,43;3,79;331,15
2,92;15,47;3,19;333,17
2,93;15,50;3,03;335,29
2,94;15,53;3,38;337,48
2,95;15,54;4,12;339,74
2,96;15,56;5,07;342,05
2,97;15,56;6,13;344,37
2,98;15,56;7,24;346,71
2,99;15,55;8,37;349,03
3,00;15,54;9,50;351,33
3,01;15,52;10,63;353,58
3,02;15,50;11,75;355,76
3,03;15,47;12,84;357,87
3,04;15,44;13,90;359,89
3,05;15,40;14,93;361,81
3,06;15,36;15,93;363,61
3,07;15,31;16,88;365,29
3,08;15,26;17,79;366,84
3,09;15,21;18,65;368,25
3,10;15,16;19,46;369,52
3,11;15,11;20,22;370,66
3,12;15,05;20,93;371,65
3,13;14,99;21,57;372,50
3,14;14,94;22,15;373,21
3,15;14,88;22,68;373,80
3,16;14,82;23,13;374,27
3,17;14,77;23,53;374,62
3,18;14,71;23,85;374,88
3,19;14,66;24,11;375,04
3,20;14,61;24,29;375,14
3,21;14,56;24,41;375,18
3,22;14,51;24,45;375,18
3,23;14,47;24,43;375,15
3,24;14,43;24,33;375,12
3,25;14,39;24,16;375,10
3,26;14,36;23,92;375,11
3,27;14,33;23,61;375,17
3,28;14,30;23,22;375,29
3,29;14,27;22,77;375,50
3,30;14,25;22,25;375,80
3,31;14,23;21,67;376,22
3,32;14,22;21,02;376,77
3,33;14,21;20,30;377,45
3,34;14,20;19,52;378,29
3,35;14,19;18,6
