dt;Posicion;V Eul-Simpl;Energia
2,39;10,25;6,01;176,54
2,40;10,30;6,41;176,35
2,41;10,35;6,85;176,35
2,42;10,40;7,31;176,00
2,43;10,45;7,79;176,00
2,44;10,50;8,28;175,46
2,45;10,54;8,76;175,46
2,46;10,59;9,24;174,72
2,47;10,64;9,71;174,27
2,48;10,69;10,16;173,76
2,49;10,75;10,60;173,76
2,50;10,80;11,02;172,60
2,51;10,85;11,41;172,60
2,52;10,91;11,78;171,23
2,53;10,96;12,12;170,47
2,54;11,02;12,43;170,47
2,55;11,08;12,71;168,83
2,56;11,14;12,96;168,83
2,57;11,20;13,17;167,02
2,58;11,26;13,35;167,02
2,59;11,32;13,50;165,08
2,60;11,38;13,60;164,07
2,61;11,45;13,68;164,07
2,62;11,51;13,71;162,00
2,63;11,58;13,70;160,94
2,64;11,65;13,66;160,94
2,65;11,72;13,58;158,82
2,66;11,79;13,46;158,82
2,67;11,85;13,31;156,72
2,68;11,92;13,12;156,72
2,69;11,99;12,89;154,68
2,70;12,06;12,62;154,68
2,71;12,13;12,32;152,74
2,72;12,20;11,98;152,74
2,73;12,26;11,61;150,93
2,74;12,33;11,21;150,93
2,75;12,39;10,78;149,28
2,76;12,45;10,32;149,28
2,77;12,51;9,83;147,83
2,78;12,57;9,31;147,83
2,79;12,63;8,77;146,58
2,80;12,68;8,21;146,04
2,81;12,73;7,62;146,04
2,82;12,78;7,02;145,13
2,83;12,83;6,41;145,13
2,84;12,87;5,78;144,45
2,85;12,91;5,15;144,20
2,86;12,95;4,52;144,00
2,87;12,98;3,89;144,00
2,88;13,01;3,29;143,77
2,89;13,04;2,74;143,73
2,90;13,06;2,27;143,73
2,91;13,08;1,97;143,73
2,92;13,09;1,89;143,87
2,93;13,11;2,08;143,99
2,94;13,11;2,46;143,99
2,95;13,12;2,95;144,29
2,96;13,12;3,51;144,46
2,97;13,12;4,09;144,46
2,98;13,12;4,69;144,82
2,99;13,11;5,29;145,01
3,00;13,10;5,88;145,01
3,01;13,09;6,47;145,38
3,02;13,07;7,04;145,55
3,03;13,05;7,60;145,72
3,04;13,03;8,13;145,72
3,05;13,01;8,64;146,02
3,06;12,99;9,13;146,02
3,07;12,96;9,60;146,28
3,08;12,94;10,03;146,28
3,09;12,91;10,44;146,48
3,10;12,88;10,82;146,48
3,11;12,85;11,16;146,63
3,12;12,82;11,48;146,63
3,13;12,79;11,75;146,63
3,14;12,76;12,00;146,74
3,15;12,73;12,21;146,76
3,16;12,70;12,38;146,77
3,17;12,67;12,51;146,77
3,18;12,63;12,61;146,76
3,19;12,60;12,67;146,75
3,20;12,57;12,70;146,75
3,21;12,55;12,68;146,74
3,22;12,52;12,63;146,73
3,23;12,49;12,54;146,73
3,24;12,46;12,41;146,73
3,25;12,44;12,25;146,75
3,26;12,41;12,05;146,75
3,27;12,39;11,81;146,82
3,28;12,36;11,54;146,87
3,29;12,34;11,24;146,87
3,30;12,32;10,90;147,03
3,31;12,30;10,53;147,03
3,32;12,28;10,13;147,27
3,33;12,26;9,70;147,27
3,34;12,24;9,24;147,59
3,35;12,22;8,76;147,78
3,36;12,20;8,25;147,78
3,37;12,19;7,72;148,22
3,38;12,17;7,17;148,22
