Tiempo;Pos.x;Pos.y;Vel.x;Vel.y;Energia
1,310;15,359;23,580;10,799;6,851;263,872
1,320;15,467;23,648;10,782;6,742;263,617
1,330;15,575;23,715;10,765;6,633;263,363
1,340;15,682;23,780;10,748;6,525;263,111
1,350;15,789;23,845;10,731;6,417;262,860
1,360;15,897;23,909;10,714;6,308;262,611
1,370;16,004;23,971;10,696;6,200;262,363
1,380;16,111;24,033;10,679;6,092;262,116
1,390;16,217;24,093;10,662;5,984;261,871
1,400;16,324;24,152;10,644;5,876;261,627
1,410;16,430;24,211;10,627;5,769;261,385
1,420;16,536;24,268;10,609;5,661;261,144
1,430;16,642;24,324;10,591;5,554;260,904
1,440;16,748;24,379;10,574;5,446;260,665
1,450;16,854;24,433;10,556;5,339;260,428
1,460;16,959;24,486;10,538;5,232;260,192
1,470;17,065;24,537;10,520;5,125;259,957
1,480;17,170;24,588;10,502;5,019;259,724
1,490;17,275;24,638;10,484;4,912;259,492
1,500;17,379;24,686;10,466;4,805;259,261
1,510;17,484;24,734;10,448;4,699;259,031
1,520;17,588;24,780;10,430;4,593;258,803
1,530;17,693;24,826;10,411;4,487;258,575
1,540;17,797;24,870;10,393;4,381;258,349
1,550;17,900;24,913;10,375;4,275;258,124
1,560;18,004;24,956;10,356;4,169;257,900
1,570;18,108;24,997;10,337;4,064;257,678
1,580;18,211;25,037;10,319;3,959;257,456
1,590;18,314;25,076;10,300;3,853;257,236
1,600;18,417;25,114;10,281;3,748;257,016
1,610;18,520;25,151;10,263;3,644;256,798
1,620;18,622;25,187;10,244;3,539;256,580
1,630;18,724;25,222;10,225;3,434;256,364
1,640;18,827;25,256;10,206;3,330;256,149
1,650;18,929;25,288;10,187;3,226;255,935
1,660;19,030;25,320;10,168;3,122;255,722
1,670;19,132;25,351;10,149;3,018;255,509
1,680;19,233;25,380;10,130;2,914;255,298
1,690;19,335;25,409;10,110;2,811;255,088
1,700;19,436;25,437;10,091;2,707;254,878
1,710;19,536;25,463;10,072;2,604;254,670
1,720;19,637;25,489;10,052;2,501;254,462
1,730;19,737;25,513;10,033;2,398;254,255
1,740;19,838;25,537;10,014;2,295;254,050
1,750;19,938;25,559;9,994;2,193;253,845
1,760;20,037;25,580;9,975;2,091;253,640
1,770;20,137;25,601;9,955;1,989;253,437
1,780;20,237;25,620;9,935;1,887;253,234
1,790;20,336;25,639;9,916;1,785;253,032
1,800;20,435;25,656;9,896;1,683;252,831
1,810;20,534;25,672;9,876;1,582;252,631
1,820;20,632;25,688;9,857;1,481;252,431
1,830;20,731;25,702;9,837;1,380;252,232
1,840;20,829;25,715;9,817;1,279;252,034
1,850;20,927;25,727;9,797;1,178;251,836
1,860;21,025;25,739;9,777;1,078;251,639
1,870;21,123;25,749;9,757;0,978;251,443
1,880;21,220;25,758;9,737;0,878;251,247
1,890;21,318;25,767;9,718;0,778;251,052
1,900;21,415;25,774;9,698;0,678;250,857
1,910;21,511;25,780;9,678;0,579;250,663
1,920;21,608;25,785;9,658;0,480;250,469
1,930;21,705;25,790;9,638;0,381;250,276
1,940;21,801;25,793;9,618;0,282;250,083
1,950;21,897;25,795;9,598;0,183;249,891
1,960;21,993;25,797;9,578;0,085;249,699
1,970;22,089;25,797;9,558;-0,013;249,508
1,980;22,184;25,796;9,538;-0,111;249,317
1,990;22,279;25,795;9,518;-0,209;249,126
2,000;22,374;25,792;9,498;-0,306;248,936
2,010;22,469;25,789;9,478;-0,404;248,746
2,020;22,564;25,784;9,458;-0,501;248,557
2,030;22,658;25,779;9,438;-0,598;248,367
2,040;22,753;25,772;9,418;-0,695;248,178
2,050;22,847;25,765;9,398;-0,791;247,990
2,060;22,941;25,756;9,378;-0,888;247,801
2,070;23,034;25,747;9,358;-0,984;247,613
2,080;23,128;25,737;9,338;-1,080;247,425
2,090;23,221;25,726;9,318;-1,175;247,237
2,100;23,314;25,713;9,298;-1,271;247,049
2,110;23,407;25,700;9,279;-1,366;246,862
2,120;23,500;25,686;9,259;-1,461;246,674
2,130;23,592;25,671;9,239;-1,556;246,487
2,140;23,685;25,655;9,219;-1,651;246,299
2,150;23,777;25,638;9,200;-1,745;246,112
2,160;23,869;25,620;9,180;-1,840;245,925
2,170;23,960;25,601;9,160;-1,934;245,737
2,180;24,052;25,581;9,141;-2,028;245,550
2,190;24,143;25,561;9,121;-2,121;245,363
2,200;24,234;25,539;9,102;-2,215;245,176
2,210;24,325;25,516;9,082;-2,308;244,988
2,220;24,416;25,493;9,063;-2,401;244,801
2,230;24,506;25,468;9,044;-2,494;244,613
2,240;24,597;25,443;9,024;-2,587;244,425
2,250;24,687;25,416;9,005;-2,679;244,238
2,260;24,777;25,389;8,986;-2,771;244,050
2,270;24,867;25,361;8,967;-2,864;243,861
2,280;24,956;25,332;8,948;-2,955;243,673
2,290;25,046;25,302;8,929;-3,047;243,485
2,300;25,135;25,271;8,910;-3,139;243,296
2,310;25,224;25,239;8,891;-3,230;243,107
2,320;25,313;25,206;8,872;-3,321;242,917
2,330;25,401;25,173;8,854;-3,412;242,728
2,340;25,490;25,138;8,835;-3,503;242,538
2,350;25,578;25,103;8,816;-3,594;242,348
2,360;25,666;25,066;8,798;-3,684;242,157
2,370;25,754;25,029;8,779;-3,775;241,966
2,380;25,842;24,991;8,761;-3,865;241,775
2,390;25,929;24,952;8,743;-3,955;241,583
2,400;26,016;24,912;8,724;-4,044;241,391
2,410;26,104;24,871;8,706;-4,134;241,198
2,420;26,190;24,829;8,688;-4,223;241,005
2,430;26,277;24,786;8,670;-4,313;240,812
2,440;26,364;24,743;8,652;-4,402;240,618
