NumParticulas;TiempoReal;TiempoSimulado;TiempoMedio;Frames;TiempoComputo
1200;77,086;230,059;0,016;62,500;0.006
1200;77,104;230,109;0,018;55,556;0.005
1200;77,121;230,159;0,017;58,824;0.005
1200;77,138;230,209;0,017;58,824;0.004
1200;77,155;230,259;0,017;58,824;0.005
1200;77,173;230,309;0,018;55,556;0.004
1200;77,189;230,359;0,016;62,500;0.004
1200;77,205;230,409;0,016;62,500;0.004
1200;77,222;230,459;0,017;58,824;0.005
1200;77,237;230,509;0,015;66,667;0.004
1200;77,255;230,559;0,018;55,556;0.004
1200;77,272;230,609;0,017;58,824;0.004
1200;77,289;230,659;0,017;58,824;0.005
1200;77,304;230,709;0,015;66,667;0.004
1200;77,322;230,759;0,018;55,556;0.004
1200;77,338;230,809;0,016;62,500;0.004
1200;77,355;230,859;0,017;58,824;0.006
1200;77,371;230,909;0,016;62,500;0.005
1200;77,388;230,959;0,017;58,824;0.004
1200;77,406;231,009;0,018;55,556;0.004
1200;77,420;231,059;0,014;71,429;0.007
1200;77,439;231,109;0,019;52,632;0.004
1200;77,455;231,160;0,016;62,500;0.004
1200;77,472;231,210;0,017;58,824;0.004
1200;77,489;231,260;0,017;58,824;0.005
1200;77,505;231,310;0,016;62,500;0.004
1200;77,523;231,360;0,018;55,556;0.004
1200;77,539;231,410;0,016;62,500;0.005
1200;77,557;231,460;0,018;55,556;0.004
1200;77,572;231,510;0,015;66,667;0.005
1200;77,591;231,560;0,019;52,632;0.004
1200;77,606;231,610;0,015;66,667;0.005
1200;77,624;231,660;0,018;55,556;0.004
1200;77,639;231,710;0,015;66,667;0.005
1200;77,655;231,760;0,016;62,500;0.004
1200;77,672;231,810;0,017;58,824;0.006
1200;77,689;231,860;0,017;58,824;0.004
1200;77,707;231,910;0,018;55,556;0.005
1200;77,722;231,960;0,015;66,667;0.004
1200;77,738;232,010;0,016;62,500;0.006
1200;77,755;232,060;0,017;58,824;0.004
1200;77,772;232,110;0,017;58,824;0.004
1200;77,789;232,160;0,017;58,824;0.004
1200;77,807;232,210;0,018;55,556;0.005
1200;77,822;232,260;0,015;66,667;0.004
1200;77,839;232,310;0,017;58,824;0.005
1200;77,855;232,360;0,016;62,500;0.004
1200;77,872;232,410;0,017;58,824;0.004
1200;77,889;232,460;0,017;58,824;0.004
1200;77,905;232,510;0,016;62,500;0.005
1200;77,922;232,560;0,017;58,824;0.004
1200;77,940;232,610;0,018;55,556;0.005
1200;77,955;232,660;0,015;66,667;0.004
